,regret,reward
191,258.5845360824742,4441.0
192,254.18969072164964,4470.0
193,256.7948453608251,4492.0
194,259.39999999999964,4514.0
195,254.0051546391751,4544.0
196,251.61030927835054,4571.0
197,251.215463917526,4596.0
198,247.82061855670054,4624.0
199,248.425773195876,4648.0
200,253.03092783505144,4668.0
201,239.6360824742269,4706.0
202,237.24123711340235,4733.0
203,231.8463917525769,4763.0
204,235.45154639175234,4784.0
205,247.0567010309278,4797.0
206,245.66185567010325,4823.0
207,246.2670103092787,4847.0
208,242.87216494845325,4875.0
209,241.4773195876287,4901.0
210,240.08247422680415,4927.0
211,245.6876288659796,4946.0
212,239.29278350515415,4977.0
213,250.8979381443296,4990.0
214,246.50309278350505,5019.0
215,249.1082474226805,5041.0
216,252.71340206185596,5062.0
217,256.3185567010305,5083.0
