Pull_Number,Arm_Pulled,Reward,Cumulative_Reward,Regret
242,21,27,4874,1066.4673202614376
243,21,30,4904,1061.0147058823532
244,21,22,4926,1063.5620915032678
245,11,11,4937,1077.1094771241833
246,21,28,4965,1073.656862745098
247,21,27,4992,1071.2042483660134
248,21,28,5020,1067.751633986928
249,5,28,5048,1064.2990196078435
250,21,25,5073,1063.8464052287582
251,12,5,5078,1083.3937908496737
252,21,36,5114,1071.9411764705883
253,21,27,5141,1069.4885620915038
254,21,27,5168,1067.0359477124184
255,21,28,5196,1063.583333333334
256,21,21,5217,1067.1307189542486
257,21,29,5246,1062.6781045751632
258,0,9,5255,1078.2254901960787
259,22,5,5260,1097.7728758169933
260,21,29,5289,1093.3202614379088
261,17,8,5297,1109.8676470588234
262,15,17,5314,1117.415032679739
263,21,31,5345,1110.9624183006536
264,8,12,5357,1123.509803921569
265,9,18,5375,1130.0571895424837
266,9,24,5399,1130.6045751633992
267,0,9,5408,1146.1519607843138
268,21,21,5429,1149.6993464052293
269,21,26,5455,1148.246732026144
270,21,21,5476,1151.7941176470595
271,21,21,5497,1155.341503267974
272,17,10,5507,1169.8888888888887
273,21,24,5531,1170.4362745098042
274,21,24,5555,1170.9836601307188
275,21,30,5585,1165.5310457516343
276,21,28,5613,1162.078431372549
277,21,33,5646,1153.6258169934645
278,21,23,5669,1155.173202614379
279,17,15,5684,1164.7205882352946
280,20,22,5706,1167.2679738562092
281,15,20,5726,1171.8153594771247
282,18,16,5742,1180.3627450980393
283,21,17,5759,1187.9101307189549
284,21,20,5779,1192.4575163398695
285,21,22,5801,1195.004901960784
286,21,24,5825,1195.5522875816996
287,1,14,5839,1206.0996732026142
288,21,20,5859,1210.6470588235297
289,21,25,5884,1210.1944444444443
290,19,3,5887,1231.7418300653599
291,21,23,5910,1233.2892156862745
292,12,5,5915,1252.83660130719
293,21,27,5942,1250.3839869281046
294,21,24,5966,1250.9313725490201
295,21,33,5999,1242.4787581699347
296,21,14,6013,1253.0261437908503
297,21,22,6035,1255.5735294117649
298,21,22,6057,1258.1209150326804
299,19,5,6062,1277.668300653595
300,21,29,6091,1273.2156862745096
301,21,21,6112,1276.7630718954251
302,21,25,6137,1276.3104575163397
303,21,29,6166,1271.8578431372553
304,21,28,6194,1268.4052287581699
305,15,21,6215,1271.9526143790854
306,21,31,6246,1265.5
307,20,19,6265,1271.0473856209155
308,21,29,6294,1266.5947712418301
309,21,26,6320,1265.1421568627457
310,21,27,6347,1262.6895424836603
311,21,20,6367,1267.2369281045758
312,5,23,6390,1268.7843137254904
313,21,24,6414,1269.331699346405
314,21,27,6441,1266.8790849673205
315,21,27,6468,1264.4264705882351
316,21,27,6495,1261.9738562091507
317,10,21,6516,1265.5212418300653
318,21,35,6551,1255.0686274509808
319,21,29,6580,1250.6160130718954
320,21,28,6608,1247.163398692811
321,21,26,6634,1245.7107843137255
322,21,29,6663,1241.258169934641
323,21,26,6689,1239.8055555555557
324,0,4,6693,1260.3529411764712
325,9,19,6712,1265.9003267973858
326,7,23,6735,1267.4477124183013
327,21,23,6758,1268.995098039216
328,21,18,6776,1275.5424836601305
329,21,24,6800,1276.089869281046
330,21,24,6824,1276.6372549019607
331,5,23,6847,1278.1846405228762
332,21,28,6875,1274.7320261437908
333,21,17,6892,1282.2794117647063
334,21,23,6915,1283.8267973856218
335,21,25,6940,1283.3741830065355
336,21,26,6966,1281.921568627451
337,8,19,6985,1287.4689542483666
338,15,20,7005,1292.016339869282
339,21,13,7018,1303.5637254901958
340,21,18,7036,1310.1111111111113
341,21,25,7061,1309.6584967320268
342,21,20,7081,1314.2058823529405
343,21,26,7107,1312.753267973856
344,21,23,7130,1314.3006535947716
345,21,20,7150,1318.848039215687
346,21,22,7172,1321.3954248366008
347,21,17,7189,1328.9428104575163
348,14,8,7197,1345.4901960784318
349,21,32,7229,1338.0375816993474
350,21,22,7251,1340.584967320261
351,21,29,7280,1336.1323529411766
352,12,8,7288,1352.679738562092
353,21,26,7314,1351.2271241830076
354,21,23,7337,1352.7745098039213
355,21,25,7362,1352.3218954248368
356,21,29,7391,1347.8692810457524
357,21,18,7409,1354.416666666666
358,21,22,7431,1356.9640522875816
359,21,29,7460,1352.511437908497
360,21,26,7486,1351.0588235294126
361,21,26,7512,1349.6062091503263
362,21,18,7530,1356.1535947712418
363,5,16,7546,1364.7009803921574
364,21,28,7574,1361.2483660130729
365,11,13,7587,1372.7957516339866
366,21,20,7607,1377.343137254902
367,21,22,7629,1379.8905228758176
368,21,30,7659,1374.4379084967331
369,21,31,7690,1367.9852941176468
370,21,27,7717,1365.5326797385624
371,21,25,7742,1365.0800653594779
372,21,23,7765,1366.6274509803916
373,21,30,7795,1361.174836601307
374,21,23,7818,1362.7222222222226
375,21,24,7842,1363.2696078431381
376,21,26,7868,1361.8169934640518
377,5,21,7889,1365.3643790849674
378,21,28,7917,1361.911764705883
379,21,22,7939,1364.4591503267984
380,21,23,7962,1366.006535947712
381,21,29,7991,1361.5539215686276
382,5,21,8012,1365.1013071895431
383,21,26,8038,1363.6486928104587
384,21,29,8067,1359.1960784313724
385,20,19,8086,1364.743464052288
386,8,10,8096,1379.2908496732034
387,21,22,8118,1381.838235294117
388,19,4,8122,1402.3856209150326
389,21,23,8145,1403.9330065359482
390,21,25,8170,1403.4803921568637
391,6,9,8179,1419.0277777777774
392,21,25,8204,1418.575163398693
393,21,22,8226,1421.1225490196084
394,16,24,8250,1421.669934640524
395,3,12,8262,1434.2173202614376
396,21,21,8283,1437.7647058823532
