round,arm_pulled,reward,cum_reward,regret
618,21,32,11128,4048.856655290101
619,21,26,11154,4047.4146757679173
620,21,19,11173,4052.9726962457335
621,21,31,11204,4046.5307167235496
622,21,27,11231,4044.088737201364
623,21,28,11259,4040.64675767918
624,21,25,11284,4040.2047781569963
625,21,25,11309,4039.7627986348125
626,21,27,11336,4037.320819112627
627,21,30,11366,4031.878839590443
628,21,20,11386,4036.436860068259
629,21,35,11421,4025.9948805460754
630,21,27,11448,4023.5529010238897
631,21,23,11471,4025.110921501706
632,21,28,11499,4021.668941979522
633,21,23,11522,4023.2269624573382
634,21,25,11547,4022.7849829351526
635,21,33,11580,4014.3430034129688
636,21,22,11602,4016.901023890785
637,21,19,11621,4022.459044368601
638,21,20,11641,4027.0170648464155
639,21,25,11666,4026.5750853242316
640,21,21,11687,4030.133105802048
641,21,23,11710,4031.691126279862
642,21,17,11727,4039.2491467576783
643,21,33,11760,4030.8071672354945
644,21,30,11790,4025.3651877133107
645,21,19,11809,4030.923208191125
646,21,24,11833,4031.481228668941
647,21,22,11855,4034.0392491467574
648,21,27,11882,4031.5972696245735
649,21,28,11910,4028.155290102388
650,21,28,11938,4024.713310580204
651,21,25,11963,4024.27133105802
652,21,17,11980,4031.8293515358364
653,21,24,12004,4032.3873720136507
654,21,22,12026,4034.945392491467
655,21,25,12051,4034.503412969283
656,21,26,12077,4033.0614334470993
657,21,26,12103,4031.6194539249136
658,21,25,12128,4031.17747440273
659,21,22,12150,4033.735494880546
660,21,25,12175,4033.293515358362
661,21,19,12194,4038.8515358361765
662,21,24,12218,4039.4095563139927
663,21,25,12243,4038.967576791809
664,21,22,12265,4041.525597269625
665,21,27,12292,4039.0836177474393
666,21,24,12316,4039.6416382252555
667,21,25,12341,4039.1996587030717
668,21,27,12368,4036.757679180886
669,21,20,12388,4041.315699658702
670,21,19,12407,4046.8737201365184
671,21,31,12438,4040.4317406143346
672,21,20,12458,4044.9897610921507
673,21,29,12487,4040.547781569967
674,21,27,12514,4038.1058020477794
675,21,25,12539,4037.6638225255956
676,21,21,12560,4041.221843003412
677,21,23,12583,4042.779863481228
678,21,22,12605,4045.337883959044
679,21,25,12630,4044.8959044368603
680,21,27,12657,4042.4539249146765
681,21,23,12680,4044.0119453924926
682,21,21,12701,4047.569965870305
683,21,25,12726,4047.1279863481213
684,21,25,12751,4046.6860068259375
685,21,18,12769,4053.2440273037537
686,21,29,12798,4048.80204778157
687,21,25,12823,4048.360068259386
688,21,26,12849,4046.918088737202
689,21,24,12873,4047.4761092150184
690,21,34,12907,4038.034129692831
691,21,21,12928,4041.592150170647
692,21,26,12954,4040.1501706484632
693,21,26,12980,4038.7081911262794
694,21,31,13011,4032.2662116040956
695,21,20,13031,4036.8242320819118
696,21,19,13050,4042.382252559728
697,21,25,13075,4041.9402730375405
698,21,13,13088,4053.4982935153566
699,21,23,13111,4055.056313993173
700,21,29,13140,4050.614334470989
701,21,25,13165,4050.172354948805
702,21,24,13189,4050.7303754266213
703,21,28,13217,4047.2883959044375
704,21,25,13242,4046.8464163822537
705,21,24,13266,4047.404436860066
706,21,20,13286,4051.9624573378824
707,21,17,13303,4059.5204778156985
708,21,32,13335,4052.0784982935147
709,21,19,13354,4057.636518771331
710,21,26,13380,4056.194539249147
711,21,29,13409,4051.752559726963
712,21,20,13429,4056.3105802047794
713,21,21,13450,4059.868600682592
714,21,25,13475,4059.426621160408
715,21,25,13500,4058.9846416382243
716,21,30,13530,4053.5426621160404
717,21,28,13558,4050.1006825938566
718,21,31,13589,4043.658703071673
719,21,24,13613,4044.216723549489
720,21,27,13640,4041.7747440273015
721,21,28,13668,4038.3327645051177
722,21,17,13685,4045.890784982934
723,21,23,13708,4047.44880546075
724,21,21,13729,4051.006825938566
725,21,22,13751,4053.5648464163824
726,21,24,13775,4054.1228668941985
727,21,29,13804,4049.6808873720147
728,21,22,13826,4052.2389078498272
729,21,23,13849,4053.7969283276434
