,0
102,368.717791411043
103,365.62678936605334
104,360.53578732106325
105,363.4447852760736
106,373.353783231084
107,376.2627811860939
108,373.17177914110425
109,372.0807770961146
110,372.9897750511245
111,363.8987730061349
112,364.80777096114525
113,367.7167689161556
114,364.6257668711655
115,362.5347648261759
116,362.44376278118625
117,362.35276073619616
118,368.2617586912065
119,369.1707566462169
120,362.0797546012268
121,364.98875255623716
122,357.8977505112475
123,358.8067484662579
124,355.7157464212678
125,359.62474437627816
126,363.5337423312885
127,361.44274028629843
128,368.3517382413088
129,369.26073619631916
130,370.16973415132907
131,368.07873210633943
132,367.9877300613498
133,363.8967280163597
134,363.80572597137007
135,361.71472392638043
136,363.6237218813908
137,357.5327198364007
138,361.44171779141107
139,364.35071574642143
140,363.25971370143134
141,362.1687116564417
142,361.07770961145206
143,361.986707566462
144,370.89570552147234
145,377.8047034764827
146,372.71370143149306
147,378.622699386503
148,385.53169734151334
149,385.4406952965237
150,385.3496932515336
151,391.258691206544
152,381.16768916155434
153,381.07668711656424
154,386.9856850715746
155,388.89468302658497
156,390.8036809815949
157,392.71267893660524
158,397.6216768916156
159,400.53067484662597
160,397.4396728016359
161,392.34867075664624
162,397.2576687116566
163,399.1666666666665
164,401.0756646216769
165,397.98466257668724
166,400.89366053169715
167,398.8026584867075
168,393.7116564417179
169,381.62065439672824
170,381.52965235173815
171,380.4386503067485
172,381.3476482617589
173,387.2566462167688
174,393.16564417177915
175,380.0746421267895
176,376.9836400817994
177,371.8926380368098
178,375.80163599182015
179,368.71063394683006
180,369.6196319018404
181,372.5286298568508
182,372.43762781186115
183,374.34662576687106
184,371.2556237218814
185,370.1646216768918
186,371.0736196319017
187,369.98261758691206
188,370.89161554192196
189,363.8006134969328
190,370.7096114519427
191,362.6186094069526
192,364.5276073619634
193,371.4366053169733
194,368.34560327198324
195,362.25460122699405
196,364.16359918200396
197,363.0725971370139
198,363.9815950920247
199,364.8905930470346
200,371.7995910020454
201,370.7085889570553
202,374.61758691206524
203,369.52658486707605
