round,arm_pulled,reward,cum_reward,regret
299,21,25,6595,770.5117581187005
300,7,26,6621,769.1455767077259
301,21,15,6636,778.7793952967522
302,22,8,6644,795.4132138857776
303,21,24,6668,796.0470324748039
304,21,32,6700,788.6808510638293
305,21,18,6718,795.3146696528547
306,21,27,6745,792.948488241881
307,21,26,6771,791.5823068309064
308,21,20,6791,796.2161254199327
309,21,19,6810,801.8499440089581
310,21,16,6826,810.4837625979835
311,21,30,6856,805.1175811870098
312,3,21,6877,808.7513997760352
313,21,25,6902,808.3852183650606
314,21,26,6928,807.0190369540869
315,21,25,6953,806.6528555431123
316,21,24,6977,807.2866741321386
317,21,14,6991,817.920492721164
318,21,25,7016,817.5543113101894
319,21,24,7040,818.1881298992157
320,21,21,7061,821.8219484882411
321,21,22,7083,824.4557670772674
322,21,27,7110,822.0895856662928
323,21,21,7131,825.7234042553182
324,21,26,7157,824.3572228443445
325,21,25,7182,823.9910414333699
326,21,27,7209,821.6248600223962
327,21,16,7225,830.2586786114216
328,21,24,7249,830.892497200447
329,21,27,7276,828.5263157894733
330,9,20,7296,833.1601343784987
331,21,15,7311,842.793952967525
332,21,28,7339,839.4277715565504
333,21,25,7364,839.0615901455767
334,21,18,7382,845.6954087346021
335,21,30,7412,840.3292273236275
336,21,22,7434,842.9630459126529
337,21,25,7459,842.5968645016783
338,21,31,7490,836.2306830907055
339,21,27,7517,833.8645016797309
340,21,21,7538,837.4983202687563
341,21,21,7559,841.1321388577817
342,21,31,7590,834.7659574468071
343,21,15,7605,844.3997760358343
344,21,23,7628,846.0335946248597
345,21,19,7647,851.6674132138851
346,21,29,7676,847.3012318029105
347,21,26,7702,845.9350503919359
348,21,16,7718,854.5688689809631
349,21,25,7743,854.2026875699885
350,21,25,7768,853.8365061590139
351,21,23,7791,855.4703247480393
352,21,32,7823,848.1041433370647
353,21,31,7854,841.7379619260919
354,21,24,7878,842.3717805151173
355,21,32,7910,835.0055991041427
356,21,25,7935,834.6394176931681
357,21,21,7956,838.2732362821935
358,21,19,7975,843.9070548712207
359,21,20,7995,848.5408734602461
360,21,19,8014,854.1746920492715
361,21,22,8036,856.8085106382969
362,21,24,8060,857.4423292273223
363,21,27,8087,855.0761478163495
364,21,26,8113,853.7099664053749
365,21,25,8138,853.3437849944003
366,21,33,8171,844.9776035834257
367,21,31,8202,838.6114221724511
368,21,25,8227,838.2452407614783
369,21,35,8262,827.8790593505037
370,21,27,8289,825.5128779395291
371,21,25,8314,825.1466965285545
372,21,28,8342,821.7805151175799
373,21,21,8363,825.4143337066071
374,21,21,8384,829.0481522956325
375,21,19,8403,834.6819708846579
376,14,2,8405,857.3157894736833
377,21,22,8427,859.9496080627086
378,21,23,8450,861.5834266517359
379,21,16,8466,870.2172452407613
380,21,22,8488,872.8510638297867
381,21,21,8509,876.484882418812
382,21,27,8536,874.1187010078374
383,21,25,8561,873.7525195968647
384,21,30,8591,868.38633818589
385,21,29,8620,864.0201567749154
386,21,15,8635,873.6539753639408
387,21,31,8666,867.2877939529662
388,21,18,8684,873.9216125419935
389,21,29,8713,869.5554311310188
390,21,23,8736,871.1892497200442
391,21,26,8762,869.8230683090696
392,21,28,8790,866.456886898095
393,21,28,8818,863.0907054871222
394,21,27,8845,860.7245240761476
395,21,22,8867,863.358342665173
396,21,31,8898,856.9921612541984
397,21,27,8925,854.6259798432238
398,21,22,8947,857.259798432251
399,21,19,8966,862.8936170212764
400,21,24,8990,863.5274356103018
401,21,21,9011,867.1612541993272
402,21,28,9039,863.7950727883526
403,14,7,9046,881.428891377378
404,21,31,9077,875.0627099664052
405,21,25,9102,874.6965285554306
406,21,29,9131,870.330347144456
407,21,19,9150,875.9641657334814
408,21,25,9175,875.5979843225068
409,21,26,9201,874.231802911534
410,21,23,9224,875.8656215005594
411,21,22,9246,878.4994400895848
412,21,22,9268,881.1332586786102
413,21,27,9295,878.7670772676356
414,21,25,9320,878.4008958566628
415,21,29,9349,874.0347144456882
416,21,23,9372,875.6685330347136
417,21,19,9391,881.302351623739
418,21,30,9421,875.9361702127644
419,21,22,9443,878.5699888017916
420,21,25,9468,878.203807390817
421,21,33,9501,869.8376259798424
422,21,31,9532,863.4714445688678
423,21,23,9555,865.1052631578932
424,21,28,9583,861.7390817469204
425,21,18,9601,868.3729003359458
426,21,25,9626,868.0067189249712
427,21,22,9648,870.6405375139966
428,21,21,9669,874.274356103022
429,21,20,9689,878.9081746920492
430,21,32,9721,871.5419932810746
431,21,29,9750,867.1758118701
432,21,22,9772,869.8096304591254
433,21,19,9791,875.4434490481508
434,21,20,9811,880.077267637178
435,21,27,9838,877.7110862262034
436,21,30,9868,872.3449048152288
437,21,18,9886,878.9787234042542
438,21,22,9908,881.6125419932796
439,21,23,9931,883.2463605823068
440,21,26,9957,881.8801791713322
441,21,24,9981,882.5139977603576
442,21,24,10005,883.147816349383
443,21,21,10026,886.7816349384084
444,21,26,10052,885.4154535274356
445,21,23,10075,887.049272116461
446,21,29,10104,882.6830907054864
447,21,23,10127,884.3169092945118
448,21,20,10147,888.9507278835372
449,21,21,10168,892.5845464725644
450,21,28,10196,889.2183650615898
451,21,25,10221,888.8521836506152
452,21,33,10254,880.4860022396406
453,21,23,10277,882.119820828666
454,21,21,10298,885.7536394176932
455,21,28,10326,882.3874580067186
456,21,25,10351,882.021276595744
457,21,15,10366,891.6550951847694
458,21,23,10389,893.2889137737948
459,21,27,10416,890.922732362822
460,21,23,10439,892.5565509518474
461,21,23,10462,894.1903695408728
462,21,33,10495,885.8241881298982
463,21,35,10530,875.4580067189236
464,21,22,10552,878.0918253079508
465,21,17,10569,885.7256438969762
466,21,22,10591,888.3594624860016
467,21,18,10609,894.993281075027
468,21,28,10637,891.6270996640524
469,21,27,10664,889.2609182530796
470,21,29,10693,884.894736842105
471,21,21,10714,888.5285554311304
472,21,18,10732,895.1623740201558
473,21,28,10760,891.7961926091812
474,21,31,10791,885.4300111982084
475,21,24,10815,886.0638297872338
476,21,26,10841,884.6976483762592
477,21,24,10865,885.3314669652846
478,21,20,10885,889.96528555431
479,21,19,10904,895.5991041433354
480,21,35,10939,885.2329227323626
481,21,26,10965,883.866741321388
482,21,26,10991,882.5005599104134
483,21,21,11012,886.1343784994388
484,21,23,11035,887.7681970884641
485,21,31,11066,881.4020156774914
486,21,21,11087,885.0358342665168
487,21,18,11105,891.6696528555422
488,21,33,11138,883.3034714445675
489,21,29,11167,878.937290033593
490,21,29,11196,874.5711086226202
491,21,26,11222,873.2049272116456
492,20,22,11244,875.838745800671
493,21,28,11272,872.4725643896963
494,21,24,11296,873.1063829787217
495,21,24,11320,873.740201567749
496,21,26,11346,872.3740201567743
497,21,26,11372,871.0078387457997
498,21,25,11397,870.6416573348251
499,21,25,11422,870.2754759238505
500,21,22,11444,872.9092945128778
501,21,26,11470,871.5431131019031
502,21,24,11494,872.1769316909285
503,21,25,11519,871.8107502799539
504,21,25,11544,871.4445688689793
505,21,29,11573,867.0783874580065
506,21,23,11596,868.7122060470319
507,21,30,11626,863.3460246360573
508,21,18,11644,869.9798432250827
509,21,23,11667,871.6136618141081
510,21,31,11698,865.2474804031353
511,21,23,11721,866.8812989921607
512,21,15,11736,876.5151175811861
513,21,26,11762,875.1489361702115
514,21,19,11781,880.7827547592369
515,21,33,11814,872.4165733482641
516,21,25,11839,872.0503919372895
517,21,24,11863,872.6842105263149
518,21,24,11887,873.3180291153403
519,21,26,11913,871.9518477043657
520,21,22,11935,874.5856662933929
521,21,25,11960,874.2194848824183
522,21,23,11983,875.8533034714437
523,21,22,12005,878.4871220604691
524,21,25,12030,878.1209406494945
525,21,30,12060,872.7547592385217
526,21,26,12086,871.3885778275471
527,21,28,12114,868.0223964165725
528,21,26,12140,866.6562150055979
529,21,23,12163,868.2900335946233
530,21,26,12189,866.9238521836505
531,21,22,12211,869.5576707726759
532,21,18,12229,876.1914893617013
533,21,30,12259,870.8253079507267
534,21,32,12291,863.4591265397521
535,21,22,12313,866.0929451287793
536,21,26,12339,864.7267637178047
537,21,20,12359,869.3605823068301
538,21,29,12388,864.9944008958555
539,21,28,12416,861.6282194848809
540,21,24,12440,862.2620380739081
541,21,26,12466,860.8958566629335
542,21,28,12494,857.5296752519589
543,21,21,12515,861.1634938409843
544,21,21,12536,864.7973124300097
545,21,22,12558,867.4311310190369
546,21,16,12574,876.0649496080623
547,21,30,12604,870.6987681970877
