,0
369,5119.17789072427
370,5123.742058449809
371,5120.306226175349
372,5120.870393900888
373,5121.434561626429
374,5120.99872935197
375,5126.562897077509
376,5131.1270648030495
377,5125.691232528588
378,5121.255400254129
379,5116.81956797967
380,5119.383735705209
381,5119.94790343075
382,5126.512071156289
383,5124.076238881829
384,5123.64040660737
385,5127.204574332909
386,5129.76874205845
387,5134.332909783989
388,5140.8970775095295
389,5140.461245235068
390,5138.025412960609
391,5134.58958068615
392,5132.153748411689
393,5133.71791613723
394,5132.282083862769
395,5133.846251588309
396,5124.41041931385
397,5128.974587039389
398,5136.53875476493
399,5130.102922490469
400,5133.6670902160095
401,5135.23125794155
402,5139.795425667089
403,5136.35959339263
404,5137.923761118169
405,5138.48792884371
406,5144.05209656925
407,5140.616264294789
408,5137.18043202033
409,5138.744599745869
410,5138.30876747141
411,5140.8729351969505
412,5138.437102922489
413,5135.00127064803
414,5137.565438373569
415,5142.12960609911
416,5140.693773824651
417,5140.25794155019
418,5136.82210927573
419,5132.386277001269
420,5135.95044472681
421,5128.514612452351
422,5127.07878017789
423,5151.6429479034305
424,5153.207115628969
425,5155.77128335451
426,5161.335451080051
427,5157.89961880559
428,5160.463786531131
429,5165.02795425667
430,5169.59212198221
431,5171.156289707751
432,5165.72045743329
433,5169.284625158831
434,5171.84879288437
435,5164.41296060991
436,5162.977128335451
437,5165.54129606099
438,5169.105463786531
439,5182.66963151207
440,5182.233799237611
441,5191.797966963151
442,5185.36213468869
443,5183.926302414231
444,5178.49047013977
445,5172.054637865311
446,5172.6188055908515
447,5176.18297331639
448,5173.747141041931
449,5173.31130876747
450,5179.875476493011
451,5179.439644218552
452,5183.003811944091
453,5186.567979669631
454,5184.13214739517
455,5180.696315120711
456,5175.260482846252
457,5172.824650571791
458,5166.388818297331
459,5166.95298602287
460,5171.517153748411
461,5168.081321473952
462,5160.645489199491
463,5159.209656925032
464,5164.7738246505705
465,5164.337992376111
466,5162.902160101652
467,5167.466327827191
468,5167.030495552732
469,5165.594663278271
470,5168.158831003811
471,5169.72299872935
472,5171.287166454891
473,5163.851334180432
474,5160.415501905971
475,5166.979669631512
476,5159.5438373570505
477,5161.108005082591
478,5162.672172808132
479,5168.236340533671
480,5167.800508259212
481,5176.364675984751
482,5180.928843710291
483,5177.493011435832
484,5184.057179161371
485,5182.621346886912
486,5176.185514612451
487,5185.7496823379915
488,5186.313850063532
489,5187.878017789071
490,5187.442185514612
491,5186.006353240151
492,5189.570520965692
493,5194.134688691232
494,5193.698856416771
495,5193.263024142312
496,5196.827191867851
497,5194.391359593392
498,5195.955527318933
499,5197.5196950444715
500,5198.083862770012
501,5201.648030495551
502,5202.212198221092
503,5201.776365946633
504,5204.340533672172
505,5212.904701397712
506,5212.468869123251
507,5224.033036848792
508,5216.597204574333
509,5219.161372299872
510,5216.725540025413
511,5221.2897077509515
512,5220.853875476492
513,5223.418043202033
514,5222.982210927572
515,5224.546378653113
516,5232.110546378652
517,5230.674714104192
518,5234.238881829733
519,5240.803049555272
520,5232.367217280813
521,5238.931385006352
522,5240.4955527318925
523,5244.059720457433
524,5243.623888182972
525,5241.188055908513
526,5245.752223634052
527,5249.316391359593
528,5245.880559085133
